MacAddr1,MacAddr2,MacAddr3,MacAddr4,MacAddr5,MacAddr6,MacAddr7,MacAddr8,MacAddr9,MacAddr10,MacAddr11,MacAddr12,MacAddr13,MacAddr14,MacAddr15,MacAddr16,MacAddr17,MacAddr18,MacAddr19,MacAddr20,MacAddr21,MacAddr22,MacAddr23,MacAddr24,RoomLabel
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L12
